,name,clean_time,additional_time,threshold_comparisions,cpp,python,unique,param,unique_param,files,c++ Files,c++ LOC,Headers,Header LOC,Python Files,Python LOC,Total Files,Total LOC
0,asctec base,129.500218,173.734988,57,35,22,46,49,38,12,84,7989,25,2131,14,1018,123,11138
1,water sampler,26.449281,30.05906,30,0,30,28,9,9,7,4,762,0,0,20,1217,24,1979
2,crop surveying,132.512369,167.488969,3,3,0,3,3,3,3,58,4462,33,1665,0,0,91,6127
3,cob external,21.947208,20.998927,0,0,0,0,0,0,0,5,868,125,14681,0,0,130,15549
4,cob common,27.223065000000002,27.066678000000003,0,0,0,0,0,0,0,0,0,0,0,1,25,1,25
5,cob_robots,15.343632000000001,15.212368,0,0,0,0,0,0,0,0,0,0,0,3,101,3,101
6,Cob Command Tools,35.19794,70.582154,151,142,9,37,142,28,6,8,1618,5,477,30,4813,43,6908
7,Cob substitute,15.118888,15.177244,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8,cob_driver,221.02127000000002,358.763973,13,9,4,11,9,7,6,62,18019,61,3543,16,853,139,22415
9,shcunk modular,68.464333,131.869167,9,9,0,3,9,3,1,27,17089,60,5380,3,363,90,22832
10,careobot contro,71.323238,114.587245,17,17,0,9,17,9,4,29,5492,21,1255,3,305,53,7052
11,careobot perception,50.189399,61.422392,0,0,0,0,0,0,0,9,2014,8,520,1,103,18,2637
12,careobot manipulation,55.28009300000001,140.07826200000002,6,0,6,4,0,0,1,10,29853,3,342,24,1277,37,31472
13,careobot evnironment perception,0.661967,0.646471,0,0,0,0,0,0,0,30,6080,33,2420,14,1004,77,9504
14,careobot navigation perception,24.15032,55.114892000000005,11,11,0,8,11,8,1,3,622,1,48,0,0,4,670
15,navigation stack,172.623571,308.859603,46,45,1,26,45,25,9,96,16289,89,4090,11,295,196,20674
16,Baxter Robot,29.491794,29.451442,13,0,13,7,0,0,4,0,0,0,0,65,5546,65,5546
17,Realtime tools,5.225396,5.73824,0,0,0,0,0,0,0,2,72,5,350,1,21,8,443
18,Control Toolbox,8.125366,12.41059,2,0,2,2,0,0,1,8,704,8,238,1,20,17,962
19,Ros Control,42.358465,51.704026,0,0,0,0,0,0,0,40,5361,50,2698,13,831,103,8890
20,Ros Controllers,47.190732000000004,81.43845999999999,10,10,0,6,10,6,3,33,4176,32,2762,5,370,70,7308
21,BWI from Texas,241.48655899999997,223.99138100000002,8,0,8,6,0,0,2,91,13232,99,4493,30,2600,220,20325
22,AR Tracking,79.781244,101.613765,0,0,0,0,0,0,0,83,13869,63,3408,0,0,146,17277
23,AprilTags Tracking,35.642222,40.951151,0,0,0,0,0,0,0,18,1436,25,733,0,0,43,2169
24,Airbotix ros package,18.490584,18.456657,3,0,3,3,2,2,3,0,0,3,132,20,1747,23,1879
25,Asctec Mav Pacakge,61.817786,301.354521,0,0,0,0,0,0,0,12,1923,53,2729,0,0,65,4652
26,UOS Tools,27.406631,33.764744,6,0,6,5,5,4,1,8,525,3,139,7,465,18,1129
27,Calvin Ros Stack,35.121604999999995,43.250701,0,0,0,0,0,0,0,4,495,1,26,1,28,6,549
28,CrazyFlie Ros Stack,17.40611,17.041048,32,0,32,19,1,1,5,0,0,0,0,10,613,10,613
29,Ros Concert,109.60268899999998,115.90728500000002,3,0,3,2,0,0,2,16,1444,7,258,431,33911,454,35613
30,ROS Create Driver,19.079273,18.909228,38,0,38,26,15,6,2,0,0,0,0,15,1151,15,1151
31,ROS Darwin,15.304860999999999,15.001185999999999,0,0,0,0,0,0,0,0,0,0,0,4,364,4,364
32,ROS Descartes,55.668436,68.113744,0,0,0,0,0,0,0,24,3293,18,1254,0,0,42,4547
33,Func Maninulators,44.780094,49.003409000000005,0,0,0,0,0,0,0,24,42056,2,221,0,0,26,42277
34,ros filter library,8.952956,13.111237,0,0,0,0,0,0,0,12,680,8,1263,0,0,20,1943
35,graft,22.915994,37.600249,0,0,0,0,0,0,0,10,1787,7,270,0,0,17,2057
36,Rail Pick and place library,110.365246,747.1989,0,0,0,0,0,0,0,30,3265,23,884,0,0,53,4149
37,Grizzly robot,25.95518,25.627337,0,0,0,0,0,0,0,9,721,6,279,0,0,15,1000
38,Hector Slam,49.686462,81.608186,12,12,0,11,12,11,2,14,1676,32,2291,0,0,46,3967
39,Hector Arm,19.843454,23.103267000000002,0,0,0,0,0,0,0,3,156,1,39,1,48,5,243
40,Hector navigation,58.327325,78.29781,15,15,0,13,15,13,2,14,2783,7,370,0,0,21,3153
41,Hector diagnostics,60.238753,78.348495,15,15,0,13,15,13,2,14,2783,7,370,0,0,21,3153
42,Hector turtlebot,17.519466,19.294587,0,0,0,0,0,0,0,2,63,0,0,0,0,2,63
43,ICART MINI,34.141719,51.118173,0,0,0,0,0,0,0,7,678,2,54,1,36,10,768
44,Jaco Robot Arm,38.272785,129.784421,10,10,0,3,10,3,2,8,2379,9,1083,0,0,17,3462
45,Calibration,61.945921999999996,96.27368100000001,0,0,0,0,0,0,0,32,2567,13,477,39,4326,84,7370
46,jsk smart apps,13.880281,13.952945999999999,0,0,0,0,0,0,0,3,167,17,223277,9,574,29,224018
47,jsk_control,61.083743999999996,59.660118000000004,53,0,53,30,4,1,12,9,1209,4,676,54,3802,67,5687
48,jsk_travis,2.305374,2.258998,0,0,0,0,0,0,0,0,0,0,0,1,231,1,231
49,kobuki,52.520332999999994,69.799116,19,0,19,18,0,0,6,15,1719,9,1053,37,2268,61,5040
50,kobuki_soft,22.852569,25.931266,1,1,0,1,1,1,1,4,213,2,84,0,0,6,297
51,Mav Ros,102.854729,490.92825,7,7,0,4,7,4,4,40,6953,15,853,9,503,64,8309
52,Maxwell,14.946242000000002,14.834617000000001,4,0,4,4,0,0,1,0,0,0,0,1,55,1,55
53,Motoman,53.733298,81.707752,0,0,0,0,0,0,0,22,3532,25,1704,1,84,48,5320
54,NAO Ros,20.596033,24.976976999999998,1,0,1,1,0,0,1,2,87,0,0,21,1999,23,2086
55,NAO Robot repo,42.271233,42.560825,1,0,1,1,0,0,1,3,614,1,41,24,2163,28,2818
56,NAO Extras,24.247866000000002,65.280901,26,26,0,17,26,17,2,4,854,1,77,0,0,5,931
57,NAO interaction,18.823452,18.813231,0,0,0,0,0,0,0,0,0,0,0,2,407,2,407
58,Naopi bridge,42.512265,43.557181,0,0,0,0,0,0,0,8,978,3,122,33,10387,44,11487
59,nao camera,3.3542940000000003,3.374081,0,0,0,0,0,0,0,4,437,2,79,3,241,9,757
60,nao virtual,14.305088,14.463892999999999,0,0,0,0,0,0,0,0,0,0,0,1,21,1,21
61,nao viz,14.587964000000001,14.9688,0,0,0,0,0,0,0,0,0,0,0,7,253,7,253
62,nao sensors,6.896484,6.833405,0,0,0,0,0,0,0,5,465,2,79,7,468,14,1012
63,Nav2 platform,19.537903,22.179384,0,0,0,0,0,0,0,3,364,1,34,0,0,4,398
64,neo robot,39.086206,54.23407099999999,3,3,0,3,3,3,3,14,2493,12,805,0,0,26,3298
65,next stage,16.620216,15.825026999999999,0,0,0,0,0,0,0,0,0,0,0,19,1284,19,1284
66,novatel_spann,17.789785000000002,18.288676000000002,2,0,2,2,2,2,1,0,0,0,0,11,674,11,674
67,p2 os robot,31.718284999999998,67.19591199999999,18,0,0,14,18,14,2,11,7462,6,591,0,0,17,8053
68,robot rescue,32.528001,55.272893999999994,0,0,0,0,0,0,0,12,654,0,0,0,0,12,654
69,People tracking ros,65.296875,132.861989,24,24,0,8,24,8,3,20,3284,19,1707,3,148,42,5139
70,Pepper robot,14.922523000000002,14.872434,0,0,0,0,0,0,0,0,0,0,0,4,300,4,300
71,rail_segmentation,18.894469,30.553955,0,0,0,0,0,0,0,4,791,2,132,0,0,6,923
72,rail ceiling,11.802941,17.748615,1,1,0,1,1,1,1,4,731,3,121,0,0,7,852
73,robitician ric,28.597711,32.676464,16,0,16,13,0,0,2,18,5137,580,49202,8,700,606,55039
74,segbot,28.105866,31.104008,1,0,1,1,0,0,1,17,3953,18,1351,7,258,42,5562
75,segbot apps,30.451194,67.41433599999999,0,0,0,0,0,0,0,4,806,1,90,2,104,7,1000
76,turtlebot apps,73.849108,93.24632,8,1,7,7,5,4,3,47,6248,25,1890,16,898,88,9036
77,turtlebot interactions,18.706664,19.313135,0,0,0,0,0,0,0,2,79,0,0,0,0,2,79
78,turtlebot,18.240803,19.490479,0,0,0,0,0,0,0,3,142,0,0,2,17,5,159
79,turtlebot create,18.959503,19.021736999999998,38,0,38,26,15,6,2,0,0,0,0,15,1151,15,1151
80,turtlebot arm,48.478246999999996,150.457732,0,0,0,0,0,0,0,11,6624,2,246,1,219,14,7089
81,ros universial robot ,27.087475,29.627453000000003,0,0,0,0,0,0,0,4,1058,3,354,10,1719,17,3131
82,ocs library,68.32967099999999,113.03262099999999,13,3,10,8,3,3,5,30,3329,21,1299,18,936,69,5564
83,sr utils,17.404414000000003,17.121868,0,0,0,0,0,0,0,2,212,2,77,0,0,4,289
84,sr manipulation,0.65196,0.639125,1,0,1,1,0,0,1,0,0,0,0,28,2896,28,2896
85,sr demo,0.646439,0.641225,9,0,9,3,9,3,1,10,1210,11,571,11,1555,32,3336
86,app_manager,8.199352000000001,8.061419,1,0,1,1,0,0,1,0,0,16,2977,28,6153,44,9130
87,arm_nav,15.971746,15.964620000000002,0,0,0,0,0,0,0,0,0,3,308,1,25,4,333
88,pr futre,0.664562,0.668628,0,0,0,0,0,0,0,1,178,1,42,54,4429,56,4649
89,pre2 apps,33.199759,623.598477,27,27,0,13,27,13,2,7,2992,1,157,7,186,15,3335
90,pr2_colibraiton,33.502681,46.160907,0,0,0,0,0,0,0,18,1469,6,163,18,1958,42,3590
91,pr2_common,20.919845000000002,21.258705,0,0,0,0,0,0,0,1,84,0,0,1,47,2,131
92,pr2_common_actions,33.284321000000006,55.056445,0,0,0,0,0,0,0,11,1042,2,54,8,250,21,1346
93,pr2_delivery,3.64371,3.4863089999999994,0,0,0,0,0,0,0,0,0,0,0,6,309,6,309
94,pr2_doors,14.093067000000001,14.161036,0,0,0,0,0,0,0,0,0,0,0,3,91,3,91
95,pr2_kinematics,49.376985999999995,45.028658,0,0,0,0,0,0,0,8,1788,6,330,0,0,14,2118
96,pr2_navigation,69.54061899999999,82.40061700000001,7,7,0,4,7,4,3,14,1711,11,1399,1,156,26,3266
97,pr2_pbd,0.570038,0.563826,0,0,0,0,0,0,0,0,0,0,0,17,5856,17,5856
98,pr2_precise_trajectory,13.941249,13.880816000000001,4,0,4,3,3,2,1,0,0,0,0,12,558,12,558
99,pr2_self_test,38.717068,50.782594,1,1,0,1,1,1,1,9,1756,8,320,10,1230,27,3306
100,pr2_surrogate,11.616119,19.375787,3,3,0,2,3,2,2,7,145,3,58,0,0,10,203
101,rqt_pr2_dashboard,2.4167669999999997,2.47897,0,0,0,0,0,0,0,0,0,0,0,6,303,6,303
